Building,Bureau,Location,Size
HST,Protocol (S/CPR),2385,1980
SA1,Public Affairs (PA),4646,1020
SA9,Public Affairs (PA),3575,1280
SA1,Public Affairs (PA),3759,1180
SA5,Public Affairs (PA),4007,1710
HST,Public Affairs (PA),2278,1320
HST,Public Affairs (PA),4940,1740
HST,Public Affairs (PA),6219,900
SA2,Public Affairs (PA),3935,1410
SA10,Public Affairs (PA),1101,640
HST,Public Affairs (PA),4112,710
HST,Public Affairs (PA),4215,1440
HST,Public Affairs (PA),4695,1770
HST,Public Affairs (PA),4582,1750
SA6,Public Affairs (PA),2357,1200
HST,Public Affairs (PA),6474,570
HST,Public Affairs (PA),4554,820
HST,Public Affairs (PA),7916,1840
HST,Public Affairs (PA),5560,1750
SA1,Public Affairs (PA),909,1330
SA9,Public Affairs (PA),973,1710
HST,Quadrennial Diplomacy and Development Review (QDDR),7858,600
HST,Quadrennial Diplomacy and Development Review (QDDR),6835,1220
HST,Quadrennial Diplomacy and Development Review (QDDR),2168,1770
SA8,Quadrennial Diplomacy and Development Review (QDDR),2587,1960
HST,Quadrennial Diplomacy and Development Review (QDDR),5075,1900
HST,Science & Technology Adviser (STAS),1698,510
HST,Science & Technology Adviser (STAS),7915,1010
HST,Science & Technology Adviser (STAS),4896,660
HST,Science & Technology Adviser (STAS),4188,880
HST,Science & Technology Adviser (STAS),3396,1180
HST,South and Central Asian Affairs (SCA),7855,1030
SA10,South and Central Asian Affairs (SCA),260,960
SA8,South and Central Asian Affairs (SCA),4992,1480
HST,South and Central Asian Affairs (SCA),1530,1220
HST,South and Central Asian Affairs (SCA),5867,1940
SA2,South and Central Asian Affairs (SCA),3443,610
SA2,South and Central Asian Affairs (SCA),827,530
HST,South and Central Asian Affairs (SCA),4156,1360
HST,South and Central Asian Affairs (SCA),3971,1060
HST,South and Central Asian Affairs (SCA),1316,1780
SA8,South and Central Asian Affairs (SCA),699,1050
HST,South and Central Asian Affairs (SCA),3458,1330
HST,South and Central Asian Affairs (SCA),6215,1480
SA5,South and Central Asian Affairs (SCA),3887,1280
HST,South and Central Asian Affairs (SCA),1820,1330
SA7,South and Central Asian Affairs (SCA),1037,1320
HST,South and Central Asian Affairs (SCA),7729,760
SA8,South and Central Asian Affairs (SCA),1917,1600
HST,South and Central Asian Affairs (SCA),6714,1560
HST,South and Central Asian Affairs (SCA),2796,1540
SA7,South and Central Asian Affairs (SCA),358,1480
HST,South and Central Asian Affairs (SCA),7103,1000
SA10,South and Central Asian Affairs (SCA),4911,820
HST,Trafficking in Persons (TIP),5718,1580
HST,Trafficking in Persons (TIP),3011,710
HST,Trafficking in Persons (TIP),7749,690
HST,Trafficking in Persons (TIP),5632,940
HST,Trafficking in Persons (TIP),3453,1230
SA9,Western Hemisphere Affairs (WHA),1429,1200
SA8,Western Hemisphere Affairs (WHA),4804,990
HST,Western Hemisphere Affairs (WHA),3156,1390
SA3,Western Hemisphere Affairs (WHA),4052,560
SA5,Western Hemisphere Affairs (WHA),1580,680
HST,Western Hemisphere Affairs (WHA),3676,1380
HST,Western Hemisphere Affairs (WHA),2170,1830
HST,Western Hemisphere Affairs (WHA),5641,940
HST,Western Hemisphere Affairs (WHA),5590,1260
HST,Western Hemisphere Affairs (WHA),7744,1600
HST,Western Hemisphere Affairs (WHA),4915,970
HST,Western Hemisphere Affairs (WHA),5628,1760
SA9,Western Hemisphere Affairs (WHA),4698,630
HST,Western Hemisphere Affairs (WHA),3285,1110
HST,Western Hemisphere Affairs (WHA),4407,760
HST,Western Hemisphere Affairs (WHA),3443,1190
SA5,Western Hemisphere Affairs (WHA),2770,680
